wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
017_031,2023-10-08,2023-10-08T15:58:09.553221+00:00,LC08_L1GT_017031_20231008_20231017_02_T2,90.93,False,3.742,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,90.92831376414986,9.071686235850141,31.850651300000617
017_031,2023-11-25,2023-11-25T15:58:15.872548+00:00,LC08_L1TP_017031_20231125_20231129_02_T1,14.13,True,3.741,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,16.176349857159607,2.5908845400959315,31.763893532249675
017_031,2024-06-20,2024-06-20T15:57:13.756667+00:00,LC08_L1TP_017031_20240620_20240706_02_T1,22.85,False,3.485,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,30.83940572478908,10.777401216538168,31.745611060297538
017_031,2024-07-14,2024-07-14T15:57:26.856454+00:00,LC09_L1TP_017031_20240714_20240715_02_T1,10.99,True,3.82,USA,"POLYGON Z ((-79.972 42.718 6999.999999999999, -77.662 42.382 6999.999999999999, -78.214 40.793 6999.999999999999, -80.47 41.121 6999.999999999999, -79.972 42.718 6999.999999999999))",True,False,True,False,17.036651334443274,9.090262177339309,31.54633890884297
017_032,2022-02-23,2022-02-23T15:58:26.525710+00:00,LC08_L1GT_017032_20220223_20220302_02_T2,96.91,False,3.766,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,96.90745111640874,3.0925488835912645,31.977334505383773
017_032,2022-03-11,2022-03-11T15:58:22.842255+00:00,LC08_L1TP_017032_20220311_20220321_02_T1,42.57,False,3.77,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,44.86369282173408,3.71167087958492,31.976123183312183
017_032,2022-11-06,2022-11-06T15:59:02.804546+00:00,LC08_L1TP_017032_20221106_20221115_02_T1,51.86,False,3.768,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,58.65938153256971,13.279482264580745,32.05122273624682
017_032,2022-11-22,2022-11-22T15:58:57.308362+00:00,LC08_L1TP_017032_20221122_20221129_02_T1,15.45,False,3.454,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,28.86612617151644,13.379033258362718,31.976984344508306
017_032,2023-06-18,2023-06-18T15:57:52.901113+00:00,LC08_L1TP_017032_20230618_20230623_02_T1,0.63,True,3.774,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,1.1953125361696906,0.7193132528898074,32.0549378587827
017_032,2024-02-05,2024-02-05T15:58:43.712468+00:00,LC09_L1TP_017032_20240205_20240205_02_T1,9.19,False,4.437,USA,"POLYGON Z ((-80.417 41.289 6999.999999999999, -78.158 40.96 6999.999999999999, -78.691 39.369 6999.999999999999, -80.9 39.69 6999.999999999999, -80.417 41.289 6999.999999999999))",True,False,True,False,10.43361771736762,1.5698403233638258,31.66020080341564
