wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
174_029,2022-07-29,2022-07-29T08:07:54.943094+00:00,LC08_L1TP_174029_20220729_20220806_02_T1,1.5,False,3.621,CIS,"POLYGON Z ((38.392 45.57299999999999 6999.999999999999, 40.814 45.21900000000001 6999.999999999999, 40.217 43.635 6999.999999999999, 37.858 43.979 6999.999999999999, 38.392 45.57299999999999 6999.999999999999))",False,False,False,False,,,
174_033,2022-02-19,2022-02-19T08:09:08.953295+00:00,LC08_L1TP_174033_20220219_20220301_02_T1,17.41,False,3.655,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2022-09-23,2022-09-23T08:09:27.401662+00:00,LC09_L1TP_174033_20220923_20230328_02_T1,27.02,False,3.934,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2023-04-19,2023-04-19T08:08:57.984555+00:00,LC09_L1TP_174033_20230419_20230420_02_T1,57.25,False,3.61,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2023-11-21,2023-11-21T08:09:21.335328+00:00,LC08_L1TP_174033_20231121_20231128_02_T1,48.84,True,3.93,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2023-11-29,2023-11-29T08:09:25.377996+00:00,LC09_L1TP_174033_20231129_20231129_02_T1,92.96,False,3.991,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2024-06-24,2024-06-24T08:08:09.112339+00:00,LC09_L1TP_174033_20240624_20240624_02_T1,0.12,False,4.015,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_033,2024-08-27,2024-08-27T08:08:53.433992+00:00,LC09_L1TP_174033_20240827_20240827_02_T1,7.25,False,4.03,Middle East,"POLYGON Z ((36.576 39.858 6999.999999999999, 38.788 39.536 6999.999999999999, 38.273 37.943 6999.999999999999, 36.108 38.258 6999.999999999999, 36.576 39.858 6999.999999999999))",False,False,False,False,,,
174_034,2022-03-31,2022-03-31T08:09:27.590395+00:00,LC09_L1TP_174034_20220331_20230423_02_T1,21.7,True,3.686,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
174_034,2022-05-18,2022-05-18T08:09:02.948802+00:00,LC09_L1TP_174034_20220518_20230416_02_T1,1.44,False,3.699,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
