mgrs,date,datetime,ID,cloud_percent
48TYN,2022-05-11,2022-05-11T03:46:20.579000+00:00,S2A_48TYN_20220511_0_L1C,25.3750186628445
48UUG,2023-02-12,2023-02-12T04:22:57.066000+00:00,S2B_48UUG_20230212_0_L1C,31.950470545099
48UVD,2023-09-12,2023-09-12T04:13:44.169000+00:00,S2A_48UVD_20230912_0_L1C,10.0754874734988
48UWE,2022-09-02,2022-09-02T04:13:22.241000+00:00,S2B_48UWE_20220902_0_L1C,36.1501985726657
48UXD,2023-05-02,2023-05-02T04:03:34.800000+00:00,S2A_48UXD_20230502_0_L1C,43.9558661052883
48UXE,2022-03-31,2022-03-31T04:13:18.898000+00:00,S2A_48UXE_20220331_0_L1C,47.4331012384301
48VUH,2022-11-02,2022-11-02T04:32:45.786000+00:00,S2A_48VUH_20221102_0_L1C,43.6590522261041
48VUJ,2023-01-11,2023-01-11T04:32:25.771000+00:00,S2A_48VUJ_20230111_0_L1C,16.2135029412643
48VUK,2022-09-18,2022-09-18T04:32:15.249000+00:00,S2B_48VUK_20220918_0_L1C,5.97715667831228
48VUL,2023-11-30,2023-11-30T04:41:48.323000+00:00,S2A_48VUL_20231130_0_L1C,6.30350264265878
48VVL,2022-08-04,2022-08-04T04:32:05.415000+00:00,S2A_48VVL_20220804_0_L1C,48.4188838125952
49MDM,2022-08-06,2022-08-06T03:00:11.440000+00:00,S2B_49MDM_20220806_0_L1C,27.9411747140852
49MDN,2023-08-06,2023-08-06T02:59:57.561000+00:00,S2A_49MDN_20230806_0_L1C,18.7645108414248
49MHT,2023-10-02,2023-10-02T02:48:33.798000+00:00,S2A_49MHT_20231002_0_L1C,3.6758241555564
49MHU,2023-06-24,2023-06-24T02:48:20.534000+00:00,S2A_49MHU_20230624_0_L1C,10.4092888090697
49NHC,2022-07-07,2022-07-07T02:57:19.276000+00:00,S2B_49NHC_20220707_0_L1C,40.4641822688047
49RCQ,2022-11-26,2022-11-26T03:29:27.178000+00:00,S2B_49RCQ_20221126_0_L1C,0.0773826910062259
49RGN,2022-12-30,2022-12-30T03:09:50.771000+00:00,S2B_49RGN_20221230_0_L1C,26.4929141252768
49SBU,2023-07-17,2023-07-17T03:38:35.554000+00:00,S2B_49SBU_20230717_0_L1C,0.102600854011765
49SCU,2022-05-23,2022-05-23T03:38:26.438000+00:00,S2B_49SCU_20220523_0_L1C,25.2794350383708
49SDU,2022-02-09,2022-02-09T03:28:20.778000+00:00,S2B_49SDU_20220209_0_L1C,1.37648182985458
49SEA,2023-11-26,2023-11-26T03:27:48.309000+00:00,S2A_49SEA_20231126_0_L1C,0.0
49SER,2023-06-09,2023-06-09T03:29:09.915000+00:00,S2A_49SER_20230609_0_L1C,12.3555288238318
49SEU,2023-06-09,2023-06-09T03:28:26.859000+00:00,S2A_49SEU_20230609_0_L1C,0.0209919675117203
49SFD,2023-12-01,2023-12-01T03:27:04.232000+00:00,S2B_49SFD_20231201_0_L1C,22.6738630595121
49SFU,2022-02-09,2022-02-09T03:28:13.526000+00:00,S2B_49SFU_20220209_0_L1C,6.0631404709155
