mgrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,OG_producing,overlapping_area,omni_nodata_perc,omni_cloud_perc,omni_cloud_shadow_perc
39RUQ,2024-07-20,2024-07-20T07:16:19.024000+00:00,S2B_MSIL2A_20240720T071619_N0510_R006_T39RUQ_20240720T104329,0.008898,True,0.0,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,0.0,0.0005009936927880133,0.0
39RVH,2017-12-01,2017-12-01T07:12:29.027000+00:00,S2B_MSIL2A_20171201T071229_N0212_R106_T39RVH_20201014T113417,0.412009,False,0.0,Middle East,"POLYGON Z ((50.0061146817 25.3133834498 0, 51.0969701407 25.3167020922 0, 51.0962012438 24.3250659226 0, 50.0139938622 24.3218941114 0, 50.0061146817 25.3133834498 0))",True,1330970102.6691606,0.0,0.0028533415615741155,0.007534812425970717
39RVH,2019-03-01,2019-03-01T07:08:21.024000+00:00,S2A_MSIL2A_20190301T070821_N0212_R106_T39RVH_20201030T034746,0.36966,False,0.0,Middle East,"POLYGON Z ((50.0061146817 25.3133834498 0, 51.0969701407 25.3167020922 0, 51.0962012438 24.3250659226 0, 50.0139938622 24.3218941114 0, 50.0061146817 25.3133834498 0))",True,1330970102.6691606,0.0,0.21716915338701598,0.21733836317729535
39RVH,2019-08-08,2019-08-08T07:06:31.024000+00:00,S2A_MSIL2A_20190808T070631_N0212_R106_T39RVH_20201004T214854,39.948417,True,0.0,Middle East,"POLYGON Z ((50.0061146817 25.3133834498 0, 51.0969701407 25.3167020922 0, 51.0962012438 24.3250659226 0, 50.0139938622 24.3218941114 0, 50.0061146817 25.3133834498 0))",True,1330970102.6691606,0.0,17.579709423658183,5.2075175596630405
39RVH,2023-03-30,2023-03-30T07:06:21.024000+00:00,S2A_MSIL2A_20230330T070621_N0509_R106_T39RVH_20230330T132529,0.131167,False,0.0,Middle East,"POLYGON Z ((50.0061146817 25.3133834498 0, 51.0969701407 25.3167020922 0, 51.0962012438 24.3250659226 0, 50.0139938622 24.3218941114 0, 50.0061146817 25.3133834498 0))",True,1330970102.6691606,0.0,0.0008095527221210282,0.005059704513256426
39RVH,2025-01-28,2025-01-28T07:12:11.025000+00:00,S2C_MSIL2A_20250128T071211_N0511_R106_T39RVH_20250128T104955,11.846527,False,0.0,Middle East,"POLYGON Z ((50.0061146817 25.3133834498 0, 51.0969701407 25.3167020922 0, 51.0962012438 24.3250659226 0, 50.0139938622 24.3218941114 0, 50.0061146817 25.3133834498 0))",True,1330970102.6691606,0.0,10.79751228429899,4.835143214521517
39RVP,2016-05-05,2016-05-05T07:06:32.027000+00:00,S2A_MSIL2A_20160505T070632_N0212_R106_T39RVP_20210211T084149,0.146346,False,59.639,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,55.18017524825731,0.0,0.0
39RVP,2017-09-02,2017-09-02T07:06:19.027000+00:00,S2B_MSIL2A_20170902T070619_N0212_R106_T39RVP_20210201T170502,0.078145,True,0.0,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,16.573167324658105,11.602095028557498,1.9183391512060772
39RVP,2019-06-19,2019-06-19T07:06:31.024000+00:00,S2A_MSIL2A_20190619T070631_N0212_R106_T39RVP_20201006T040228,0.072636,False,60.42,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,55.9326279607566,0.0,7.529014941330151e-06
39RVP,2021-05-07,2021-05-07T07:16:19.024000+00:00,S2B_MSIL2A_20210507T071619_N0212_R006_T39RVP_20210508T182815,1.917163,False,0.0,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,0.0,0.03192424709937923,0.02606162554205195
39RVP,2022-11-28,2022-11-28T07:22:39.024000+00:00,S2B_MSIL2A_20221128T072239_N0400_R006_T39RVP_20221130T113305,1.533148,False,60.671,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,0.0,0.0730588153323977,0.001300592897833783
39RVP,2023-02-18,2023-02-18T07:09:41.024000+00:00,S2A_MSIL2A_20230218T070941_N0400_R106_T39RVP_20230220T160344,61.660653,True,0.0,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,56.479109226578544,49.72434749993139,2.802624637499962
39RVP,2023-03-30,2023-03-30T07:06:21.024000+00:00,S2A_MSIL2A_20230330T070621_N0509_R106_T39RVP_20230330T131722,2.165201,False,60.112,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,55.93501680485466,1.3234466988373819,0.07229752063626636
