Name,geometry,EI_region,OG_producing
12SYJ,"POLYGON Z ((-108.666833532 39.7268153311 0, -107.3876394819 39.6940331175 0, -107.4379268563 38.7065632944 0, -108.6993625473 38.7382186438 0, -108.666833532 39.7268153311 0))",USA,True
12TVM,"POLYGON Z ((-112.216483315 42.4462357017 0, -110.8813058264 42.4526297453 0, -110.8831268968 41.4636925165 0, -112.1978247953 41.4575152058 0, -112.216483315 42.4462357017 0))",USA,True
12TWK,"POLYGON Z ((-111.0002365639 40.6508565153 0, -109.7016593384 40.6435572136 0, -109.7203579214 39.6545573065 0, -111.0002331558 39.6616069575 0, -111.0002365639 40.6508565153 0))",USA,True
12TWM,"POLYGON Z ((-111.000243226 42.4526911987 0, -109.6651084331 42.4449177239 0, -109.6855818807 41.4562418971 0, -111.0002394943 41.4637518867 0, -111.000243226 42.4526911987 0))",USA,True
12TWN,"POLYGON Z ((-111.0002467905 43.3528553919 0, -109.64555267 43.344834816 0, -109.6669853912 42.3563223896 0, -111.0002428839 42.36407192 0, -111.0002467905 43.3528553919 0))",USA,True
12TXK,"POLYGON Z ((-109.8173003773 40.6447996495 0, -108.51955068 40.6242099087 0, -108.5552421779 39.6358714699 0, -109.8343344799 39.6557572523 0, -109.8173003773 40.6447996495 0))",USA,True
12TXL,"POLYGON Z ((-109.8010303852 41.5455937685 0, -108.4854616094 41.5243446964 0, -108.5228018784 40.536185528 0, -109.8188520715 40.5567117422 0, -109.8010303852 41.5455937685 0))",USA,True
12TXM,"POLYGON Z ((-109.7840029773 42.4462408622 0, -108.4497870668 42.4243141366 0, -108.4888634531 41.4363363796 0, -109.8026540426 41.4575201915 0, -109.7840029773 42.4462408622 0))",USA,True
12TXN,"POLYGON Z ((-109.7661878622 43.3462000094 0, -108.4124638159 43.3235765959 0, -108.4533694277 42.3357822388 0, -109.7857128658 42.3576414527 0, -109.7661878622 43.3462000094 0))",USA,True
12TXP,"POLYGON Z ((-109.7475191278 44.2465509345 0, -108.3733540263 44.2232097399 0, -108.4161917204 43.2356009597 0, -109.7679673 43.2581553186 0, -109.7475191278 44.2465509345 0))",USA,True
12TXQ,"POLYGON Z ((-109.7279590322 45.1467528551 0, -108.3323789232 45.12267188 0, -108.3772587909 44.1352507247 0, -109.7493830752 44.1585207859 0, -109.7279590322 45.1467528551 0))",USA,True
12TYK,"POLYGON Z ((-108.6357917663 40.6266494069 0, -107.339654308 40.5928134217 0, -107.392247643 39.6055476373 0, -108.6698144654 39.6382275836 0, -108.6357917663 40.6266494069 0))",USA,True
12TYL,"POLYGON Z ((-108.6032964141 41.526862291 0, -107.2894253513 41.4919436333 0, -107.3444449856 40.504885836 0, -108.6388909579 40.5386175015 0, -108.6032964141 41.526862291 0))",USA,True
