varon_frac,methane_concentration_mol/m2,orbio_frac
-0.10852818546979182,4.2004200420042,-0.09249515723099888
-0.11046407147342285,4.3004300430043,-0.09416254998607154
-0.11237986019170898,4.4004400440044,-0.09581279151974331
-0.11427596579783705,4.5004500450045,-0.09744621468115144
-0.11615278889802638,4.6004600460046,-0.09906314221406254
-0.11801071714923217,4.7004700470047,-0.10066388718550201
-0.11985012584137122,4.8004800480048,-0.1022487533909594
-0.12167137844648668,4.9004900490049,-0.10381803573773596
-0.12347482713707592,5.000500050005,-0.10537202060787276
-0.125260813275631,5.1005100510051005,-0.10691098620197925
-0.12702966787729486,5.2005200520052,-0.10843520286519615
-0.12878171204738598,5.3005300530053,-0.10994493339642208
-0.13051725739541353,5.4005400540054005,-0.11144043334185139
-0.13223660642709223,5.5005500550055,-0.11292195127379778
-0.13394005291574596,5.6005600560056,-0.1143897290557
-0.1356278822543967,5.7005700570057005,-0.11584400209415124
-0.13730037178973775,5.8005800580058,-0.1172849995787214
-0.13895779113910534,5.9005900590059,-0.11871294471029947
-0.14060040249148542,6.0006000600060005,-0.12012805491862422
-0.14222846089351893,6.1006100610061,-0.12153054206962799
-0.14384221452140378,6.2006200620062,-0.12292061266318055
-0.14544190493952525,6.300630063006301,-0.12429846802176825
-0.14702776734659684,6.4006400640064,-0.1256643044706227
-0.1486000308100347,6.5006500650065,-0.12701831350976966
-0.15015891848924534,6.600660066006601,-0.12836068197843997
-0.1517046478484554,6.7006700670067,-0.12969159221225868
-0.15323743085967856,6.8006800680068,-0.13101122219359906
-0.15475747419636743,6.900690069006901,-0.13231974569546334
-0.15626497941827044,7.000700070007,-0.13361733241923468
-0.15776014314797382,7.1007100710071,-0.13490414812661267
-0.1592431572395847,7.200720072007201,-0.13618035476604062
-0.16071420893997768,7.3007300730073,-0.13744611059389977
-0.16217348104300067,7.4007400740074,-0.1387015702907367
-0.163621152037018,7.500750075007501,-0.13994688507277586
-0.16505739624613402,7.6007600760076,-0.1411822027989439
-0.16648238396543324,7.7007700770077,-0.1424076680736367
-0.1678962815905397,7.800780078007801,-0.14362342234542802
-0.16929925174178895,7.9007900790079,-0.14482960400191858
-0.17069145338328517,8.000800080008,-0.146026348460911
-0.17207304193710093,8.1008100810081,-0.1472137882580855
-0.17344416939285878,8.2008200820082,-0.1483920531313362
-0.1748049844129267,8.3008300830083,-0.1495612701019301
-0.17615563243343846,8.4008400840084,-0.15072156355263056
-0.17749625576134354,8.5008500850085,-0.15187305530292627
-0.17882699366767618,8.6008600860086,-0.1530158646814963
-0.1801479824772253,8.7008700870087,-0.15415010859603662
-0.18145935565477356,8.8008800880088,-0.15527590160056426
-0.1827612438880678,8.9008900890089,-0.15639335596031168
-0.18405377516767296,9.000900090009,-0.15750258171431952
-0.18533707486385143,9.1009100910091,-0.1586036867358206
-0.18661126580060539,9.2009200920092,-0.15969677679051997
-0.18787646832701,9.3009300930093,-0.1607819555928537
-0.18913280038595925,9.4009400940094,-0.16185932486031607
-0.19038037758043969,9.5009500950095,-0.1629289843659345
-0.1916193132374422,9.6009600960096,-0.1639910319889728
-0.19284971846961318,9.7009700970097,-0.16504556376393054
-0.194071702234746,9.8009800980098,-0.16609267392791482
-0.19528537139320423,9.900990099009901,-0.16713245496644813
-0.19649083076336626,10.00100010001,-0.16816499765777315
-0.19768818317517323,10.1010101010101,-0.16919039111572098
-0.19887752952186322,10.201020102010201,-0.17020872283119348
-0.20005896880996388,10.3010301030103,-0.17122007871231937
-0.2012325982076194,10.4010401040104,-0.17222454312333424
-0.20239851309131796,10.501050105010501,-0.1732221989222349
-0.20355680709108237,10.6010601060106,-0.17421312749725293
-0.204707572134195,10.7010701070107,-0.17519740880219936
-0.20585089848750326,10.801080108010801,-0.17617512139071334
-0.2069868747983744,10.9010901090109,-0.1771463424494688
-0.20811558813434294,11.001100110011,-0.17811114783036508
-0.20923712402151007,11.101110111011101,-0.1790696120817511
-0.21035156648173736,11.2011201120112,-0.18002180847871052
-0.21145899806868695,11.3011301130113,-0.18096780905244902
-0.21255949990274525,11.401140114011401,-0.1819076846188079
-0.21365315170488208,11.5011501150115,-0.1828415048059473
-0.2147400318294762,11.6011601160116,-0.18376933808121776
-0.2158202172961523,11.701170117011701,-0.18469125177725687
-0.21689378382066393,11.8011801180118,-0.18560731211733306
-0.21796080584485678,11.9011901190119,-0.18651758423997022
-0.21902135656574784,12.001200120012001,-0.18742213222286797
-0.22007550796375253,12.1012101210121,-0.18832101910615395
-0.22112333083008762,12.2012201220122,-0.18921430691497965
-0.22216489479338453,12.301230123012301,-0.19010205668149294
-0.22320026834553675,12.4012401240124,-0.1909843284662005
-0.22422951886681142,12.5012501250125,-0.19186118137874564
-0.22525271265024793,12.601260126012601,-0.19273267359811685
-0.2262699149253724,12.7012701270127,-0.1935988623923134
-0.22728118988124757,12.8012801280128,-0.194459804137476
-0.22828660068888507,12.901290129012901,-0.19531555433651027
-0.22928620952303724,13.001300130013,-0.1961661676372113
-0.2302800775833952,13.1013101310131,-0.19701169784991202
-0.23126826511520648,13.201320132013201,-0.1978521979646659
-0.2322508314293391,13.3013301330133,-0.19868772016798353
-0.2332278349218031,13.4013401340134,-0.19951831585913093
-0.23419933309275398,13.501350135013501,-0.2003440356660131
-0.23516538256499053,13.6013601360136,-0.20116492946064468
-0.23612603910196517,13.7013701370137,-0.20198104637422987
-0.23708135762532379,13.801380138013801,-0.20279243481186038
-0.23803139223198677,13.9013901390139,-0.20359914246683952
-0.2389761962107918,14.001400140014,-0.20440121633465325
-0.23991582205870388,14.101410141014101,-0.2051987027265878
-0.24085032149661612,14.2014201420142,-0.20599164728301378
-0.2417797454847449,14.3014301430143,-0.20678009498634187
-0.24270414423763886,14.401440144014401,-0.2075640901736613
-0.24362356723881073,14.5014501450145,-0.20834367654907238
-0.2445380632550027,14.6014601460146,-0.20911889719571786
-0.24544768035009878,14.701470147014701,-0.20988979458752566
-0.24635246589869486,14.8014801480148,-0.21065641060067297
-0.24725246659933398,14.9014901490149,-0.2114187865247732
-0.2481477284874204,15.001500150015001,-0.2121769630738013
-0.2490382969478191,15.1015101510151,-0.21293098039675973
-0.24992421672715392,15.2015201520152,-0.21368087808809622
-0.25080553194580724,15.301530153015301,-0.21442669519787783
-0.2516822861096365,15.4015401540154,-0.21516847024172803
-0.25255452212141216,15.5015501550155,-0.2159062412105387
-0.2534222822919837,15.601560156015601,-0.21664004557995242
-0.2542856083511874,15.7015701570157,-0.21736992031963664
-0.2551445414584963,15.8015801580158,-0.21809590190234052
-0.25599912221342536,15.901590159015901,-0.21881802631275082
-0.256849390665694,16.001600160016,-0.2195363290561474
-0.257695386325158,16.1016101610161,-0.22025084516686566
-0.2585371481715114,16.2016201620162,-0.22096160921657015
-0.2593747146637724,16.301630163016302,-0.22166865532234703
-0.26020812374954805,16.4016401640164,-0.22237201715461397
-0.2610374128740981,16.5016501650165,-0.22307172794486185
-0.2618626189891903,16.6016601660166,-0.22376782049322363
-0.26268377856176106,16.7016701670167,-0.22446032717588082
-0.26350092758238386,16.8016801680168,-0.22514927995230938
-0.2643141015735505,16.901690169016902,-0.22583471037236968
-0.265123335597772,17.001700170017,-0.2265166495832459
-0.2659286642655001,17.1017101710171,-0.22719512833623512
-0.2667301217428797,17.2017201720172,-0.22787017699339518
-0.2675277417593318,17.3017301730173,-0.228541825534051
-0.26832155761497367,17.4017401740174,-0.229210103561165
-0.2691116021878803,17.501750175017502,-0.22987504030757178
-0.2698979079411916,17.6017601760176,-0.23053666464208722
-0.27068050693006773,17.7017701770177,-0.23119500507548796
-0.27145943080849844,17.8017801780178,-0.23185008976636767
-0.27223471083596995,17.9017901790179,-0.23250194652687606
-0.27300637788399074,18.001800180018,-0.23315060282833666
-0.2737744624424825,18.101810181018102,-0.2337960858067516
-0.27453899462603903,18.2018201820182,-0.23443842226819767
-0.27530000418005607,18.3018301830183,-0.23507763869411014
-0.2760575204867327,18.4018401840184,-0.23571376124646004
-0.27681157257095534,18.5018501850185,-0.23634681577283279
-0.27756218910605546,18.6018601860186,-0.23697682781139928
-0.2783093984194571,18.701870187018702,-0.23760382259579438
-0.2790532284982048,18.8018801880188,-0.2382278250598936
-0.27979370699438555,18.9018901890189,-0.23884885984250182
-0.2805308612304379,19.001900190019,-0.23946695129194506
-0.28126471820435883,19.1019101910191,-0.24008212347057523
-0.2819953045948054,19.2019201920192,-0.24069440015918786
-0.2827226467660964,19.301930193019302,-0.24130380486135306
-0.28344677077311564,19.4019401940194,-0.24191036080766415
-0.28416770236611966,19.5019501950195,-0.24251409095990462
-0.2848854669954516,19.6019601960196,-0.24311501801513535
-0.2856000898161619,19.7019701970197,-0.24371316440970403
-0.28631159569254383,19.801980198019802,-0.24430855232317983
-0.28702000920257675,19.901990199019902,-0.2449012036822118
-0.287725354642288,20.00200020002,-0.24549114016431706
-0.2884276560300302,20.1020102010201,-0.24607838320159658
-0.2891269371106765,20.2020202020202,-0.24666295398438176
-0.28982322135973804,20.3020302030203,-0.24724487346481494
-0.29051653198740257,20.402040204020402,-0.2478241623603621
