,lat,lon,date
1456,38.64914771480725,54.28019665466486,2023-06-23
1465,40.04868524958249,61.04599957843333,2023-06-24
1466,36.471569612904304,61.45777256081638,2023-06-24
1471,27.720945111776157,9.87921244324311,2023-06-24
1489,31.77796055471154,5.994669424080934,2023-06-25
1506,27.720763935454997,9.87931242885657,2023-06-26
1512,40.04929183361799,61.04457556629889,2023-06-27
1519,38.64622032704005,54.28178613124339,2023-06-28
1520,37.907830914289896,53.898208736698834,2023-06-28
1542,40.04875749934542,61.04494250895488,2023-06-29
1543,36.47255804325155,61.45752975117568,2023-06-29
1545,28.07505586341807,9.807684903884695,2023-06-29
1546,28.08837530023172,9.783458253689396,2023-06-29
1547,28.09210623109818,9.762109949055324,2023-06-29
1548,27.720853556929004,9.879414586913152,2023-06-29
1550,32.4341258016536,-101.83073466206552,2023-06-29
1562,38.6616965913989,64.77471189569724,2023-07-01
1563,30.995984324411555,49.94996040127854,2023-07-01
1564,15.563830293023685,45.79907793706684,2023-07-01
1565,25.1321747428869,47.36262923017179,2023-07-01
1568,39.68135039450502,60.213836739716406,2023-07-02
1576,38.64862375953096,54.2828148969116,2023-07-03
1577,38.68073173059855,54.31657742350273,2023-07-03
1578,39.46141058525158,53.77579289901122,2023-07-03
1580,40.04885743137043,61.04552576804118,2023-07-04
1581,36.47327899957717,61.45751546217307,2023-07-04
1582,36.42160037615589,61.476496142259336,2023-07-04
1586,25.13253725281968,47.36253705737509,2023-07-06
1587,39.45883343458407,53.781849711183234,2023-07-06
1588,31.778033274468022,5.995410631960196,2023-07-07
1594,38.85490862848983,54.23479742018392,2023-07-08
1595,39.46151722384311,53.77509983676616,2023-07-08
1596,39.50741239167749,53.58992321563033,2023-07-08
1597,38.493782020065424,54.197590892567696,2023-07-08
1598,38.64866887115832,54.28120868665496,2023-07-08
1599,38.68021799064889,54.31563427626365,2023-07-08
1604,36.4733691191114,61.457513676012034,2023-07-09
1605,36.42205667337043,61.47693338448504,2023-07-09
1609,31.77731994166488,5.995070967467819,2023-07-10
1617,30.995155323022114,49.94787477179351,2023-07-11
1618,39.46225663410876,53.77431569698542,2023-07-11
1619,30.17741185505049,50.41262931014118,2023-07-11
1620,25.132717717217908,47.3625405311143,2023-07-11
1622,19.56659920597421,-92.23873314586528,2023-07-11
1624,39.976783253095405,61.6836855127111,2023-07-12
1625,31.777762981683736,5.99540191242027,2023-07-12
1631,36.47372382602786,61.45706019280905,2023-07-14
1632,39.97624812370832,61.684164202342224,2023-07-14
1635,31.778398630444677,5.995211313997279,2023-07-15
1641,30.99515788229995,49.94818895056225,2023-07-16
1642,19.56632207894948,-92.23730445850104,2023-07-16
1646,31.77839118188567,5.995527730275263,2023-07-17
1648,39.46143831310607,53.7746318333902,2023-07-18
1654,36.47218746491019,61.45675581859185,2023-07-19
1664,25.133081808173788,47.362349236865015,2023-07-21
1666,19.566412442162576,-92.23730403348954,2023-07-21
1671,39.68100022632099,60.21347076250216,2023-07-22
1672,39.678527809534025,60.22466354754013,2023-07-22
1674,28.6377910246382,7.616162894347596,2023-07-22
1676,38.6804781195386,54.31599107206412,2023-07-23
1677,38.64859500616789,54.28063093201745,2023-07-23
1678,37.92846717011677,53.91630962158274,2023-07-23
1679,38.85517535391569,54.23469459403055,2023-07-23
1683,36.4734751007017,61.458739317056285,2023-07-24
1686,31.778133302844616,5.994991651274453,2023-07-25
1690,25.132358369485075,47.36243446334112,2023-07-26
1691,30.994796161045468,49.94808818523524,2023-07-26
1706,31.777860527421364,5.995088404438995,2023-07-27
1707,28.63697365703165,7.615662131959757,2023-07-27
1708,38.68129108261554,54.31591370103836,2023-07-28
1709,38.64996365055735,54.28322074244054,2023-07-28
1710,37.90801934318492,53.89787497176968,2023-07-28
1711,38.33071067827509,54.02833519285055,2023-07-28
1712,38.508371397591446,54.1977780308361,2023-07-28
1713,38.85534891685113,54.23516301780396,2023-07-28
1714,39.46125553980404,53.774740787097535,2023-07-28
1729,29.25290435757404,21.54753536057176,2023-07-29
1735,32.43467694179707,-101.83114058399173,2023-07-29
1738,31.77804072266141,5.995094216866813,2023-07-30
1740,25.132717717217908,47.3625405311143,2023-07-31
1767,31.777758015837676,5.995612855138984,2023-08-01
1769,37.92856282029406,53.91608589881695,2023-08-02
1770,38.49387200079911,54.197594873864695,2023-08-02
1771,39.46216663357061,53.77431212096637,2023-08-02
1772,39.50724272496126,53.58945172616077,2023-08-02
1773,38.85534253560964,54.23539314980082,2023-08-02
1774,37.90845541796058,53.89846069694045,2023-08-02
1784,28.087834882320127,9.78325076346986,2023-08-03
1785,28.07496859385164,9.807175396328498,2023-08-03
1790,31.77768033217527,5.994977120747278,2023-08-04
1793,30.994882111842465,49.94756356524999,2023-08-05
1794,25.132711392178734,47.362937013506965,2023-08-05
1799,19.56604978050392,-92.23701974205984,2023-08-05
1800,32.434679616381025,-101.8312467958326,2023-08-05
1802,39.976601774159946,61.68357188923349,2023-08-06
1804,31.77821843523409,5.995205501261425,2023-08-06
1806,39.46171385891102,53.77441034824155,2023-08-07
1807,38.85085989214517,54.23461384530266,2023-08-07
1808,38.33079476992297,54.02856745034845,2023-08-07
1809,38.64704939468176,54.28113474616268,2023-08-07
1810,38.67303037113995,54.314957586268704,2023-08-07
1829,30.207828419805512,47.38510503045875,2023-08-08
1853,15.563742261221812,45.798424792474485,2023-08-10
1864,39.46145217269258,53.77405129997829,2023-08-12
1865,37.92856282029406,53.91608589881695,2023-08-12
1866,38.494141942989785,54.19760681786227,2023-08-12
1867,38.64846315414287,54.28211830333579,2023-08-12
1868,38.68093772891542,54.31566752248214,2023-08-12
1869,36.47255227229087,61.45708341940866,2023-08-13
1870,36.550422965554674,61.56435612667055,2023-08-13
1871,29.253357303576685,21.5471260967088,2023-08-13
1886,31.77824077604758,5.994256253560321,2023-08-14
1890,39.46150890528667,53.77544815687598,2023-08-15
1897,19.566502805374764,-92.2373036084757,2023-08-15
1902,39.976877316420456,61.68403502677385,2023-08-16
1904,31.77761257403253,5.994130444500686,2023-08-16
1922,38.68048137730882,54.3158762958801,2023-08-17
1923,39.507561326525696,53.59132431440885,2023-08-17
1924,37.9286528333794,53.91608945708437,2023-08-17
1925,38.64885847692953,54.28087271339408,2023-08-17
1926,38.650886145015335,54.27924208868374,2023-08-17
1927,38.64845348658521,54.2824624902523,2023-08-17
1928,37.90836540315568,53.89845716273239,2023-08-17
1929,38.85539475856368,54.24000394734116,2023-08-17
1930,39.46143831310607,53.7746318333902,2023-08-17
1941,36.47319320726614,61.457851999945525,2023-08-18
1942,39.97715152786735,61.68438108671708,2023-08-18
1943,36.40320275534981,61.35363522814228,2023-08-18
1945,43.349289125985536,52.49557632825197,2023-08-18
1949,29.2531683601822,21.549183467080717,2023-08-18
1950,28.63815197704573,7.61615815733863,2023-08-18
1961,31.777855562080976,5.995299347439721,2023-08-19
1967,30.176960660481875,50.41263198635958,2023-08-20
1968,25.1326274850194,47.36253879424051,2023-08-20
1969,19.56605501536836,-92.2382590385463,2023-08-20
1974,39.976783253095405,61.6836855127111,2023-08-21
1976,31.778050652365504,5.994672329893473,2023-08-21
1977,28.637427982556623,7.615963062242686,2023-08-21
1978,38.85534572628696,54.23527808381152,2023-08-22
1979,38.5560127279382,54.20493783722958,2023-08-22
1980,39.4613316773086,53.775324895737874,2023-08-22
1981,38.68083473061547,54.316122473704496,2023-08-22
1982,38.64879725468183,54.28305257577947,2023-08-22
1987,36.40256579372678,61.35320263016363,2023-08-23
1988,36.42756828424731,61.477941182091485,2023-08-23
1989,36.47318022277662,61.45684774530175,2023-08-23
1990,36.61464764877778,61.67710925065263,2023-08-23
1991,39.97669849661872,61.68415556329978,2023-08-23
1992,28.63724750635097,7.615965431020831,2023-08-23
2036,31.777712598163053,5.99371146394119,2023-08-24
2052,38.66178492324296,64.77482900345431,2023-08-25
2055,15.567273560244734,45.79685300543684,2023-08-25
2056,39.46205999942035,53.77500519108301,2023-08-25
2066,31.7781457143643,5.994464291950351,2023-08-26
2067,28.637520310319445,7.616166447047181,2023-08-26
2072,38.85526532577876,54.23492880565559,2023-08-27
2073,38.64923124451687,54.2804302223233,2023-08-27
2074,38.64845348658521,54.2824624902523,2023-08-27
2075,39.46198108843312,53.77453718411534,2023-08-27
2076,38.6808282144296,54.316352027125454,2023-08-27
2077,38.55865980163307,54.203678685986986,2023-08-27
2079,36.473546472799946,61.45728693492688,2023-08-28
2080,39.97650371826901,61.68287113672801,2023-08-28
2089,28.97505487682393,47.95454763861144,2023-08-28
2091,31.77804568768781,5.994883273406165,2023-08-29
2092,28.975320787846865,47.95476034383343,2023-08-30
2093,39.461789997949545,53.77499446048474,2023-08-30
2095,19.601060385498837,-92.29092024042473,2023-08-30
2096,19.566142560874265,-92.23759130015895,2023-08-30
2099,7.592829784499053,102.98826744336364,2023-08-31
2101,39.97696207238339,61.68356497481805,2023-08-31
2102,28.63496540926857,7.613437986946842,2023-08-31
2110,38.85489905762898,54.23514261614833,2023-09-01
2111,38.67954260516676,54.31721203215395,2023-09-01
2112,37.71696384978971,53.92852218279267,2023-09-01
2113,38.648784360622045,54.28351149333237,2023-09-01
